segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,car_mean_velocity,truck_mean_velocity,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_atasco,coches_ajustando,coches_libre,gap_min,gap_medio,gap_max,gap_critico_medio,presion_gaps,max_parados,max_en_atasco,max_v_diff,num_cars,num_trucks,truck_pct
60,ATASCO,19.29919635624421,18.15594832348835,23.5098283327474,5.353880009259051,19.447477294280606,19.150915418207813,15.917230401910068,1105.8831179065523,85.77420602775204,0,19,10,11,24.314477687003432,62.825,211.38343838086848,27.336925210796164,0.43512813706002645,1,21,23.66236188423689,20,20,0.5
61,ATASCO,19.29811174718166,18.159055227872532,23.39052844001212,5.231473212139587,19.443005235158232,19.153218259205087,15.917230401910068,1105.820967606112,85.76938554302961,0,19,10,11,24.32076022046283,62.825,214.87031536043992,27.33641631198293,0.435120036800365,1,21,23.66236188423689,20,20,0.5
62,ATASCO,19.296734114210874,18.16326418265205,23.26126284185709,5.0979986592050395,19.438040181956485,19.155428046465268,15.917230401910068,1105.742026441053,85.76326272982611,0,19,10,11,24.329531795184266,62.825,218.2326315080204,27.335591125827193,0.43510690212219966,1,21,23.66236188423689,20,20,0.5
63,ATASCO,19.29505509548609,18.168476294345467,23.12174059636816,4.953264302022692,19.43256084589969,19.157549345072493,15.917230401910068,1105.6458152606435,85.75580042438263,0,19,11,10,24.340572853347453,62.825,221.46044282288108,27.334442431754212,0.4350886180939787,1,21,23.66236188423689,20,20,0.5
64,ATASCO,19.293071571161857,18.174597809939296,22.97187031114767,4.797272501208372,19.426556896456766,19.159586245866944,15.917230401910068,1105.5321552914077,85.74698476071936,0,19,12,9,24.35367657706047,62.825,224.54362269464968,27.332968132628594,0.43506515133511486,1,21,23.66236188423689,20,20,0.5
65,ATASCO,19.2907871707525,18.18154021181885,22.811820794330277,4.630280582511428,19.42003187561773,19.161542465887262,15.917230401910068,1105.4012545118821,85.7368318700111,0,19,12,9,24.368648728443418,62.825,227.47209531060435,27.33117278722431,0.4350365744086639,1,21,23.66236188423689,20,20,0.5
66,ATASCO,19.28821378006591,18.189220250494103,22.642081506893675,4.452861256399572,19.413006117975613,19.16342144215621,15.917230401910068,1105.253794002981,85.7253945780707,0,19,11,10,24.385307403809747,62.825,230.23612929991623,27.329069140604965,0.43500309018073957,1,21,23.66236188423689,20,20,0.5
67,ATASCO,19.285372864786183,18.197559921905217,22.46351548572511,4.265955563819894,19.405519307589593,19.165226421982773,15.917230401910068,1105.091003791966,85.71276828793859,0,19,11,10,24.40348271548885,62.825,232.82668746603235,27.326679470281874,0.43496505324762236,1,21,23.66236188423689,20,20,0.5
68,ATASCO,19.282296377033173,18.206486396097574,22.27739540953878,4.070909013441206,19.39763220315773,19.16696055090862,15.917230401910068,1104.91471480015,85.69909500903633,0,19,11,10,24.423016413361097,62.825,235.23581997851352,27.324036514760326,0.43492298471564383,1,21,23.66236188423689,20,20,0.5
69,ATASCO,19.279026988500963,18.21593190409312,22.085412611093876,3.869480707000754,19.389427019959165,19.168626957042758,15.917230401910068,1104.727372202204,85.68456439333761,0,19,11,10,24.44376145727813,62.825,237.45707850321378,27.32118372776165,0.43487757624769835,1,21,23.66236188423689,20,20,0.5
70,ATASCO,19.275617420168633,18.22583358973846,21.889649938600964,3.663816348862504,19.381006012303512,19.17022882803375,15.917230401910068,1104.5319970172238,85.66941075630503,0,19,11,10,24.46558155085961,62.825,239.48591904560772,27.31817462717707,0.43482967970039105,1,21,23.66236188423689,20,20,0.5
71,ATASCO,19.272128728853247,18.236133333129263,21.69251301825053,3.4563796851212665,19.37248798292673,19.17176947477976,15.917230401910068,1104.3320879247385,85.65390546156999,0,19,11,10,24.488350646522804,62.825,241.32005408982127,27.315071097548184,0.4347802801042289,1,21,23.66236188423689,20,20,0.5
72,ATASCO,19.268627563432826,18.246777551889636,21.49662059181548,3.2498430399258424,19.36400275207229,19.17325237479336,15.917230401910068,1104.1314640407193,85.63834472636812,0,19,11,10,24.511952430893302,62.825,242.95971249958097,27.311940657131167,0.43473045216285183,1,21,23.66236188423689,20,20,0.5
