segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_acelerando,coches_decelerando,coches_constante,gap_min,gap_medio,gap_max,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_v_diff
155,DISOLVIENDO,23.36,22.27,24.72,2.45,15.92,1338.0,109.9,0,0,0,40,40.66,57.83,147.13,3324.1,0,0,2,23.61
156,DISOLVIENDO,23.36,22.28,24.72,2.44,15.92,1338.0,109.9,0,0,0,40,40.69,57.83,146.02,3326.7,0,0,2,23.61
157,DISOLVIENDO,23.36,22.28,24.71,2.43,15.92,1338.0,109.9,0,0,0,40,40.73,57.83,144.92,3329.3,0,0,2,23.61
158,DISOLVIENDO,23.36,22.29,24.71,2.42,15.92,1338.0,109.9,0,0,0,40,40.77,57.83,143.82,3331.9,0,0,2,23.61
159,DISOLVIENDO,23.36,22.3,24.71,2.41,15.92,1339.0,109.9,0,0,0,40,40.81,57.83,142.73,3334.4,0,0,2,23.61
160,DISOLVIENDO,23.36,22.3,24.7,2.4,15.92,1339.0,109.9,0,0,0,40,40.86,57.83,141.64,3337.0,0,0,2,23.61
161,DISOLVIENDO,23.36,22.31,24.7,2.39,15.92,1339.0,109.9,0,0,0,40,40.91,57.83,140.56,3339.6,0,0,2,23.61
162,DISOLVIENDO,23.37,22.32,24.69,2.38,15.92,1339.0,110.0,0,0,0,40,40.96,57.83,139.48,3342.1,0,0,2,23.61
163,DISOLVIENDO,23.37,22.32,24.69,2.37,15.92,1339.0,110.0,0,0,0,40,41.02,57.83,138.4,3344.6,0,0,2,23.61
164,DISOLVIENDO,23.37,22.32,24.68,2.36,15.92,1339.0,110.0,0,0,0,40,41.07,57.83,137.33,3347.2,0,0,2,23.61
165,DISOLVIENDO,23.37,22.33,24.68,2.35,15.92,1339.0,110.0,0,0,0,40,41.13,57.83,136.26,3349.7,0,0,2,23.61
166,DISOLVIENDO,23.37,22.33,24.68,2.35,15.92,1339.0,110.0,0,0,0,40,41.17,57.83,135.2,3352.2,0,0,2,23.61
167,DISOLVIENDO,23.37,22.33,24.67,2.34,15.92,1339.0,110.0,0,0,0,40,41.19,57.83,134.14,3354.7,0,0,2,23.61
168,DISOLVIENDO,23.37,22.34,24.67,2.33,15.92,1339.0,110.0,0,0,0,40,41.21,57.83,133.09,3357.2,0,0,2,23.61
169,DISOLVIENDO,23.37,22.34,24.66,2.32,15.92,1339.0,110.0,0,0,0,40,41.24,57.83,132.04,3359.7,0,0,2,23.61
170,DISOLVIENDO,23.37,22.35,24.66,2.31,15.92,1339.0,110.0,0,0,0,40,41.28,57.83,130.99,3362.2,0,0,2,23.61
171,DISOLVIENDO,23.37,22.35,24.65,2.3,15.92,1339.0,110.0,0,0,0,40,41.31,57.83,129.96,3364.6,0,0,2,23.61
